Gm#,Date,Team,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,Year
1,"Thursday, Mar 28",STL,MIL,L,4,5,,0-1,4,1,Chacin,Mikolas,Hader,2:36,D,45304,-,,2019
2,"Friday, Mar 29",STL,MIL,W,9,5,,43831,3,0.5,Gant,Williams,,3:41,N,30157,+,,2019
3,"Saturday, Mar 30",STL,MIL,L,2,4,,43832,4,1,Woodruff,Hudson,Hader,3:07,N,36655,-,,2019
4,"Sunday, Mar 31",STL,MIL,L-wo,4,5,,43833,5,2,Barnes,Hicks,,2:54,D,35042,--,,2019
5,"Monday, Apr 1",STL,PIT,W,6,5,11,43864,2,2,Hicks,Brault,Gant,4:50,D,37336,+,,2019
6,"Wednesday, Apr 3",STL,PIT,W,5,4,10,43893,2,2.5,Gant,Burdi,Hudson,3:30,N,23954,++,,2019
7,"Friday, Apr 5",STL,SDP,L,3,5,,43894,3,3.5,Stock,Reyes,Yates,2:54,D,46615,-,2019-04-04 (Rain),2019
8,"Saturday, Apr 6",STL,SDP,L,4,6,,43895,3,3.5,Wisler,Miller,Yates,3:37,D,44492,--,,2019
9,"Sunday, Apr 7",STL,SDP,W,4,1,,43926,3,3.5,Wainwright,Strahm,Hicks,3:08,D,44340,+,,2019
10,"Monday, Apr 8",STL,LAD,W,4,3,,43956,3,2.5,Mikolas,Kelly,Hicks,2:41,N,35858,++,,2019
11,"Tuesday, Apr 9",STL,LAD,W,4,0,,43987,2,1.5,Brebbia,Stripling,,3:17,N,36353,+++,,2019
12,"Wednesday, Apr 10",STL,LAD,W,7,2,,44017,2,0.5,Flaherty,Maeda,,2:52,N,36244,++++,,2019
13,"Thursday, Apr 11",STL,LAD,W,11,7,,44048,1,Tied,Gallegos,Baez,,3:12,D,38200,+++++,,2019
14,"Saturday, Apr 13",STL,CIN,L,2,5,,44049,2,1.5,Hughes,Wainwright,Iglesias,3:08,N,16886,-,,2019
15,"Sunday, Apr 14",STL,CIN,W,9,5,,44080,2,0.5,Gant,Garrett,Hicks,3:19,D,16793,+,,2019
16,"Monday, Apr 15",STL,MIL,L,7,10,,44081,2,1.5,Guerra,Mayers,,3:51,N,28199,-,,2019
17,"Tuesday, Apr 16",STL,MIL,L,4,8,,44082,3,2.5,Woodruff,Flaherty,,3:13,N,30260,--,,2019
18,"Wednesday, Apr 17",STL,MIL,W,6,3,,44112,3,1.5,Wacha,Burnes,Hicks,2:55,D,29817,+,,2019
19,"Friday, Apr 19",STL,NYM,L,4,5,,44113,3,2,Lugo,Wainwright,Diaz,3:31,N,40413,-,,2019
20,"Saturday, Apr 20",STL,NYM,W,10,2,,44144,3,2,Mikolas,Flexen,,2:45,D,47059,+,,2019
21,"Sunday, Apr 21",STL,NYM,W,6,4,,44174,2,1,Hudson,Syndergaard,Hicks,3:07,D,42765,++,,2019
22,"Monday, Apr 22",STL,MIL,W,13,5,,13-9,1,Tied,Flaherty,Houser,,3:12,N,35819,+++,,2019
23,"Tuesday, Apr 23",STL,MIL,W,4,3,,14-9,1,up 1.0,Miller,Wilson,Hicks,3:00,N,38474,++++,,2019
24,"Wednesday, Apr 24",STL,MIL,W,5,2,,15-9,1,up 2.0,Wainwright,Chacin,Hicks,2:51,D,36878,+++++,,2019
25,"Friday, Apr 26",STL,CIN,L,1,12,,15-10,1,up 2.0,DeSclafani,Mikolas,,2:55,N,45087,-,,2019
26,"Saturday, Apr 27",STL,CIN,W,6,3,,16-10,1,up 2.0,Hudson,Mahle,Hicks,2:32,D,44197,+,,2019
27,"Sunday, Apr 28",STL,CIN,W,5,2,,17-10,1,up 2.5,Flaherty,Gray,Gant,2:53,D,45701,++,,2019
28,"Monday, Apr 29",STL,WSN,W,6,3,,18-10,1,up 3.0,Wacha,Corbin,Hicks,3:05,N,17890,+++,,2019
29,"Tuesday, Apr 30",STL,WSN,W,3,2,,19-10,1,up 3.0,Wainwright,Sanchez,Miller,3:09,N,19753,++++,,2019
30,"Wednesday, May 1",STL,WSN,W,5,1,,20-10,1,up 3.0,Mikolas,Scherzer,,3:02,N,22157,+++++,,2019
31,"Thursday, May 2",STL,WSN,L,1,2,,20-11,1,up 2.5,Strasburg,Hudson,Doolittle,3:00,N,24338,-,,2019
32,"Friday, May 3",STL,CHC,L,0,4,,20-12,1,up 1.5,Hendricks,Flaherty,,2:28,D,34978,--,,2019
33,"Saturday, May 4",STL,CHC,L,5,6,,20-13,1,up 0.5,Kintzler,Brebbia,Strop,3:03,D,39601,---,,2019
34,"Sunday, May 5",STL,CHC,L,5,13,,20-14,2,0.5,Quintana,Wainwright,,3:21,N,36499,----,,2019
35,"Monday, May 6",STL,PHI,W,6,0,,21-14,1,up 0.5,Mikolas,Velasquez,,2:52,N,38419,+,,2019
36,"Tuesday, May 7",STL,PHI,L,1,11,,21-15,2,0.5,Nola,Hudson,,3:04,N,38562,-,,2019
37,"Wednesday, May 8",STL,PHI,L,0,5,,21-16,3,1.5,Eickhoff,Flaherty,,2:41,D,42309,--,,2019
38,"Thursday, May 9",STL,PIT,W,17,4,,22-16,3,1.5,Wacha,Musgrove,,3:30,N,38925,+,,2019
39,"Friday, May 10",STL,PIT,L,1,2,,22-17,3,1.5,Williams,Miller,Vazquez,2:54,N,45060,-,,2019
40,"Saturday, May 11",STL,PIT,L,1,2,,22-18,3,2.5,Lyles,Mikolas,Vazquez,2:42,D,43011,--,,2019
41,"Sunday, May 12",STL,PIT,L,6,10,,22-19,3,3.5,Stratton,Brebbia,,3:29,D,48555,---,,2019
42,"Tuesday, May 14",STL,ATL,W,14,3,,23-19,3,3.5,Flaherty,Foltynewicz,,3:00,N,23718,+,,2019
43,"Wednesday, May 15",STL,ATL,L,0,4,,23-20,3,3.5,Soroka,Wacha,Jackson,2:40,N,23367,-,,2019
44,"Thursday, May 16",STL,ATL,L,2,10,,23-21,3,3.5,Teheran,Wainwright,,3:16,N,28783,--,,2019
45,"Friday, May 17",STL,TEX,L,3,7,,23-22,4,4.5,Sampson,Mikolas,,2:59,N,34398,---,,2019
46,"Saturday, May 18",STL,TEX,W,8,2,,24-22,4,3.5,Hudson,Jurado,,3:14,N,30967,+,,2019
47,"Sunday, May 19",STL,TEX,L-wo,4,5,10,24-23,4,4.5,Gomez,Hicks,,3:41,D,32112,-,,2019
48,"Wednesday, May 22 (1)",STL,KCR,L,2,8,,24-24,4,5,Keller,Wacha,,2:44,D,42725,--,2019-05-21 (Rain),2019
49,"Wednesday, May 22 (2)",STL,KCR,W,10,3,,25-24,4,5,Wainwright,Bailey,,3:30,N,42529,+,,2019
50,"Friday, May 24",STL,ATL,L,2,5,,25-25,4,4.5,Foltynewicz,Mikolas,,2:44,N,44630,-,,2019
51,"Saturday, May 25",STL,ATL,W,6,3,,26-25,3,4.5,Miller,Winkler,Hicks,2:40,N,45760,+,,2019
52,"Sunday, May 26",STL,ATL,L,3,4,10,26-26,3,4.5,Webb,Webb,Jackson,4:07,N,45152,-,,2019
53,"Tuesday, May 28",STL,PHI,L,3,4,,26-27,3,4,Pivetta,Wainwright,Neris,2:28,N,29084,--,,2019
54,"Wednesday, May 29",STL,PHI,L,4,11,,26-28,4,5,Nola,Cabrera,,3:01,N,30486,---,,2019
55,"Thursday, May 30",STL,PHI,W,5,3,,27-28,3,4.5,Hudson,Eickhoff,Hicks,3:01,D,31206,+,,2019
56,"Friday, May 31",STL,CHC,W-wo,2,1,10,28-28,3,3.5,Hicks,Montgomery,,3:24,N,45321,++,,2019
57,"Saturday, Jun 1",STL,CHC,W,7,4,,29-28,3,3,Gant,Chatwood,Martinez,3:04,N,46297,+++,,2019
58,"Sunday, Jun 2",STL,CHC,W,2,1,,30-28,3,3,Wainwright,Hamels,Gant,2:38,D,46053,++++,,2019
59,"Tuesday, Jun 4",STL,CIN,L,1,4,,30-29,3,3,Castillo,Cabrera,Iglesias,2:56,N,40649,-,,2019
60,"Thursday, Jun 6",STL,CIN,W,3,1,,31-29,3,2.5,Gant,Lorenzen,Hicks,2:58,D,44654,+,,2019
61,"Friday, Jun 7",STL,CHC,L,1,3,,31-30,3,3.5,Hamels,Mikolas,Strop,2:39,D,40671,-,,2019
62,"Saturday, Jun 8",STL,CHC,L,4,9,,31-31,3,4.5,Lester,Brebbia,,3:27,N,41005,--,,2019
63,"Sunday, Jun 9",STL,CHC,L,1,5,,31-32,3,5.5,Hendricks,Wainwright,Strop,2:48,N,39545,---,,2019
64,"Monday, Jun 10",STL,MIA,W,4,1,,32-32,3,5,Wacha,Alcantara,Hicks,2:49,N,6585,+,,2019
65,"Tuesday, Jun 11",STL,MIA,W,7,1,,33-32,3,4,Hudson,Hernandez,,3:12,N,6308,++,,2019
66,"Wednesday, Jun 12",STL,MIA,L,0,9,,33-33,3,5,Yamamoto,Mikolas,,2:34,N,7001,-,,2019
67,"Thursday, Jun 13",STL,NYM,W,5,4,10,34-33,3,4.5,Martinez,Diaz,Hicks,3:02,N,31862,+,,2019
68,"Friday, Jun 14",STL,NYM,W,9,5,,35-33,3,3.5,Gant,Familia,,3:05,N,28560,++,,2019
69,"Saturday, Jun 15",STL,NYM,L,7,8,,35-34,3,3.5,Syndergaard,Wacha,Diaz,3:33,N,32589,-,,2019
70,"Sunday, Jun 16",STL,NYM,W,4,3,,36-34,3,3.5,Miller,Flexen,Martinez,3:09,D,37054,+,,2019
71,"Monday, Jun 17",STL,MIA,W,5,0,,37-34,3,2.5,Mikolas,Hernandez,,2:39,N,41274,++,,2019
72,"Tuesday, Jun 18",STL,MIA,L,0,6,,37-35,3,2.5,Yamamoto,Flaherty,,2:43,N,41467,-,,2019
73,"Wednesday, Jun 19",STL,MIA,W-wo,2,1,11,38-35,3,2,Gant,Conley,,3:34,N,40126,+,,2019
74,"Thursday, Jun 20",STL,MIA,L,6,7,11,38-36,3,3,Garcia,Miller,Romo,4:31,N,42446,-,,2019
75,"Friday, Jun 21",STL,LAA,W,5,1,,39-36,3,2,Wacha,Canning,,3:24,N,48423,+,,2019
76,"Saturday, Jun 22",STL,LAA,W,4,2,,40-36,3,1,Hudson,Pena,Webb,2:59,D,46711,++,,2019
77,"Sunday, Jun 23",STL,LAA,L,4,6,,40-37,3,2,Skaggs,Mikolas,,3:42,N,47114,-,,2019
78,"Tuesday, Jun 25",STL,OAK,L,3,7,,40-38,3,2.5,Wendelken,Flaherty,,3:28,N,40556,--,,2019
79,"Wednesday, Jun 26",STL,OAK,L,0,2,,40-39,3,2.5,Mengden,Wainwright,Hendriks,2:46,N,44871,---,,2019
80,"Friday, Jun 28",STL,SDP,L,1,3,,40-40,3,3,Quantrill,Wacha,Yates,2:49,N,33329,----,,2019
81,"Saturday, Jun 29",STL,SDP,L,2,12,,40-41,3,4,Paddack,Hudson,,3:05,N,44407,-----,,2019
82,"Sunday, Jun 30",STL,SDP,W,5,3,11,41-41,3,3,Martinez,Wieck,Leone,4:07,D,32575,+,,2019
83,"Tuesday, Jul 2",STL,SEA,L,4,5,,41-42,3,3.5,Adams,Gallegos,Elias,3:18,N,20173,-,,2019
84,"Wednesday, Jul 3",STL,SEA,W,5,2,,42-42,3,2.5,Brebbia,Adams,,2:58,N,31876,+,,2019
85,"Thursday, Jul 4",STL,SEA,W,5,4,,43-42,3,1.5,Ponce de Leon,Milone,Martinez,2:45,D,26673,++,,2019
86,"Friday, Jul 5",STL,SFG,W,9,4,,44-42,3,1.5,Hudson,Pomeranz,,3:23,N,37603,+++,,2019
87,"Saturday, Jul 6",STL,SFG,L,4,8,,44-43,3,2,Dyson,Mikolas,,3:13,N,32487,-,,2019
88,"Sunday, Jul 7",STL,SFG,L,0,1,,44-44,3,2,Samardzija,Flaherty,Smith,2:19,D,33841,--,,2019
89,"Friday, Jul 12",STL,ARI,L,2,4,,44-45,3,3,Ray,Miller,Holland,2:56,N,44960,---,,2019
90,"Saturday, Jul 13",STL,ARI,W,4,2,,45-45,3,3,Hudson,Kelly,Martinez,3:04,N,46152,+,,2019
91,"Sunday, Jul 14",STL,ARI,W,5,2,,46-45,3,3,Wainwright,Greinke,Martinez,2:52,D,43439,++,,2019
92,"Monday, Jul 15",STL,PIT,W,7,0,,47-45,2,2,Mikolas,Musgrove,,3:00,N,41965,+++,,2019
93,"Tuesday, Jul 16",STL,PIT,L,1,3,,47-46,3,3,Liriano,Martinez,Vazquez,3:04,N,43777,-,,2019
94,"Wednesday, Jul 17",STL,PIT,W,6,5,,48-46,3,3,Brebbia,Liriano,Martinez,3:11,D,43186,+,,2019
95,"Thursday, Jul 18",STL,CIN,W,7,4,,49-46,3,2.5,Hudson,Stephenson,Miller,3:17,N,32359,++,,2019
96,"Friday, Jul 19",STL,CIN,W,12,11,,50-46,2,2.5,Wacha,Hughes,Martinez,3:49,N,37652,+++,,2019
97,"Saturday, Jul 20",STL,CIN,L,2,3,,50-47,3,3.5,Garrett,Mikolas,Lorenzen,2:36,N,38427,-,,2019
98,"Sunday, Jul 21",STL,CIN,W,3,1,,51-47,3,2.5,Gallegos,DeSclafani,Martinez,3:22,D,28763,+,,2019
99,"Monday, Jul 22",STL,PIT,W,6,5,10,52-47,2,1.5,Shreve,Holmes,Martinez,4:05,N,13096,++,,2019
100,"Tuesday, Jul 23",STL,PIT,W,4,3,,53-47,2,0.5,Hudson,Archer,Miller,2:46,N,15778,+++,,2019
101,"Wednesday, Jul 24",STL,PIT,W,14,8,,54-47,2,0.5,Wainwright,Lyles,,3:17,N,18675,++++,,2019
