,index,Team,Avg. Home Attendance,Fans/yr,Away draw power,Win %,Total Wins,Avg. Wins/Season,Base Attendance
0,13,LAD,44844,3632369,1574,56.61,642,91.71,7200.52
1,19,NYY,44448,3600308,6001,58.02,658,94.0,5271.06
2,0,STL,41343,3348842,461,56.08,636,90.86,4269.44
3,25,SFG,38987,3157984,1499,50.62,574,82.0,7846.79
4,12,LAA,38860,3147721,-262,53.09,602,86.0,5041.25
5,5,CHC,38113,3087190,3177,53.97,612,87.43,3336.26
6,4,BOS,36441,2951736,3887,56.35,639,91.29,-921.08
7,21,PHI,34712,2811724,588,51.59,585,83.57,2520.53
8,15,COL,34024,2756016,-1212,45.64,518,74.0,8241.9
9,16,MIL,33667,2727071,-1051,52.29,593,84.71,711.96
10,18,NYM,32947,2668760,815,49.91,566,80.86,2570.45
11,10,HOU,31503,2551749,-999,52.78,598,85.43,-1934.7
12,27,TEX,30275,2452338,-1203,50.35,571,81.57,-576.91
13,2,ATL,29865,2419103,-334,52.16,591,84.43,-2902.6
14,23,SDP,29451,2385576,-565,44.27,502,71.71,5202.19
15,9,DET,29362,2378374,-39,46.64,528,75.43,2621.97
16,29,WSN,29338,2376379,-700,52.06,505,72.14,4800.68
17,28,TOR,28199,2284168,-1532,48.19,546,78.0,-262.23
18,17,MIN,28019,2269581,-589,48.55,551,78.71,-917.81
19,1,ARI,27553,2231866,-1551,46.47,527,75.29,906.99
20,24,SEA,27425,2221490,-1076,45.94,521,74.43,1354.84
21,7,CIN,25341,2052663,-634,45.41,515,73.57,-153.49
22,3,BAL,25059,2029851,-1143,44.22,501,71.57,904.29
23,6,CHW,23498,1903349,-677,47.27,536,76.57,-4006.01
24,22,PIT,23028,1865343,-1126,46.64,528,75.43,-3711.75
25,11,KCR,22462,1819446,-1206,43.3,491,70.14,-735.62
26,8,CLE,22356,1810841,-425,53.31,604,86.29,-11657.66
27,20,OAK,21439,1736561,-1093,52.16,591,84.43,-11329.04
28,14,MIA,17209,1393947,-1924,45.53,515,73.57,-8285.79
29,26,TBR,17167,1390560,-2245,51.99,589,84.14,-15406.44
